DATE,Dollar
2018-01-16,108.3231
2018-01-12,108.9026
2018-01-11,109.4906
2018-01-10,109.6292
2018-01-09,109.9038
2018-01-08,109.5693
2018-01-05,109.3513
2018-01-04,109.4797
2018-01-03,109.6769
2018-01-02,109.646
2017-12-29,110.0796
2017-12-28,110.5166
2017-12-27,110.8564
2017-12-26,110.9768
2017-12-22,111.1006
2017-12-21,110.8791
2017-12-20,110.8369
2017-12-19,111.1262
2017-12-18,110.909
2017-12-15,111.1286
2017-12-14,111.0898
2017-12-13,111.2761
2017-12-12,111.5214
2017-12-11,111.0825
2017-12-08,111.227
2017-12-07,111.0178
2017-12-06,110.8705
2017-12-05,110.4897
2017-12-04,110.3964
2017-12-01,110.1411
2017-11-30,110.465
2017-11-29,110.326
2017-11-28,110.3006
2017-11-27,110.1127
2017-11-24,110.0244
2017-11-22,110.5621
2017-11-21,110.9816
2017-11-20,111.2592
2017-11-17,111.0008
2017-11-16,111.256
2017-11-15,111.4805
2017-11-14,111.5088
2017-11-13,111.7821
2017-11-09,111.5612
2017-11-08,111.6919
2017-11-07,111.9435
2017-11-06,111.7184
2017-11-03,111.937
2017-11-02,111.546
2017-11-01,111.7939
2017-10-31,111.8051
2017-10-30,111.9004
2017-10-27,112.1486
2017-10-26,111.6411
2017-10-25,111.3903
2017-10-24,111.4017
2017-10-23,111.2124
2017-10-20,111.0362
2017-10-19,110.456
2017-10-18,110.7196
2017-10-17,110.9128
2017-10-16,110.5424
2017-10-13,110.2658
2017-10-12,110.3133
2017-10-11,110.3019
2017-10-10,110.3015
2017-10-06,110.7813
2017-10-05,110.5794
2017-10-04,110.2399
2017-10-03,110.3256
2017-10-02,110.3661
2017-09-29,110.0848
2017-09-28,110.2398
2017-09-27,110.0697
2017-09-26,109.7743
2017-09-25,109.3278
2017-09-22,108.7518
2017-09-21,108.9245
2017-09-20,108.4306
2017-09-19,108.6117
2017-09-18,108.6373
2017-09-15,108.312
2017-09-14,108.6145
2017-09-13,108.6587
2017-09-12,108.3202
2017-09-11,108.1486
2017-09-08,107.8041
2017-09-07,107.918
2017-09-06,108.4855
2017-09-05,108.8624
2017-09-01,109.0462
2017-08-31,109.3646
2017-08-30,109.4017
2017-08-29,109.0914
2017-08-28,109.1779
2017-08-25,109.3371
2017-08-24,109.7478
2017-08-23,109.8049
2017-08-22,109.834
2017-08-21,109.7309
2017-08-18,110.0368
2017-08-17,110.1634
2017-08-16,110.4353
2017-08-15,110.4809
2017-08-14,110.0916
2017-08-11,110.0391
2017-08-10,110.1854
2017-08-09,110.3641
2017-08-08,110.3925
2017-08-07,110.37
2017-08-04,110.2776
2017-08-03,109.8305
2017-08-02,109.7477
2017-08-01,109.8467
2017-07-31,109.8149
2017-07-28,109.9164
2017-07-27,110.2121
2017-07-26,110.3772
2017-07-25,110.2799
2017-07-24,110.1966
2017-07-21,110.1868
2017-07-20,110.247
2017-07-19,110.4296
2017-07-18,110.4316
2017-07-17,110.9264
2017-07-14,110.9034
2017-07-13,111.5321
2017-07-12,111.5861
2017-07-11,112.1398
2017-07-10,112.1551
2017-07-07,112.3104
2017-07-06,112.4174
2017-07-05,112.6509
2017-07-03,112.4242
2017-06-30,111.9871
2017-06-29,111.9955
2017-06-28,112.0716
2017-06-27,112.5467
2017-06-26,112.7595
2017-06-23,112.8629
2017-06-22,113.1615
2017-06-21,113.3292
2017-06-20,113.2658
2017-06-19,112.7535
2017-06-16,112.6117
2017-06-15,112.8673
2017-06-14,112.0699
2017-06-13,112.6235
2017-06-12,112.9806
2017-06-09,112.9533
2017-06-08,112.8332
2017-06-07,112.8175
2017-06-06,112.7077
2017-06-05,112.974
2017-06-02,113.1896
2017-06-01,113.3
2017-05-31,113.2943
2017-05-30,113.5536
2017-05-26,113.4816
2017-05-25,113.3705
2017-05-24,113.6735
2017-05-23,113.6853
2017-05-22,113.5436
2017-05-19,113.6995
2017-05-18,114.2683
2017-05-17,113.7493
2017-05-16,113.9905
2017-05-15,114.3486
2017-05-12,114.7462
2017-05-11,115.0652
2017-05-10,115.113
2017-05-09,115.3923
2017-05-08,115.0888
2017-05-05,114.7719
2017-05-04,114.9069
2017-05-03,114.6623
2017-05-02,114.678
2017-05-01,114.5906
2017-04-28,114.7866
2017-04-27,114.9935
2017-04-26,114.9464
2017-04-25,114.5095
2017-04-24,114.3631
2017-04-21,114.8099
2017-04-20,114.6179
2017-04-19,114.7894
2017-04-18,114.2536
2017-04-17,114.3233
2017-04-14,114.5315
2017-04-13,114.5005
2017-04-12,114.911
2017-04-11,115.0038
2017-04-10,115.1045
2017-04-07,115.0492
2017-04-06,115.0133
2017-04-05,114.9446
2017-04-04,114.999
2017-04-03,114.8685
2017-03-31,114.7893
2017-03-30,114.5195
2017-03-29,114.712
2017-03-28,114.4152
2017-03-27,114.2312
2017-03-24,114.6331
2017-03-23,114.7861
2017-03-22,114.7898
2017-03-21,114.808
2017-03-20,115.0381
2017-03-17,115.274
2017-03-16,115.4412
2017-03-15,116.3537
2017-03-14,116.5601
2017-03-13,116.3961
2017-03-10,116.6116
2017-03-09,116.9916
2017-03-08,116.8701
2017-03-07,116.4254
2017-03-06,116.4265
2017-03-03,116.6391
2017-03-02,116.8387
2017-03-01,116.4339
2017-02-28,115.9997
2017-02-27,115.6723
2017-02-24,115.8104
2017-02-23,115.6487
2017-02-22,116.2097
2017-02-21,116.5889
2017-02-17,116.4003
2017-02-16,116.0035
2017-02-15,116.2127
2017-02-14,116.3914
2017-02-13,116.3395
2017-02-10,116.1449
2017-02-09,116.3034
2017-02-08,116.1361
2017-02-07,116.406
2017-02-06,116.0478
2017-02-03,115.6232
2017-02-02,115.9009
2017-02-01,116.3902
2017-01-31,116.2226
2017-01-30,116.7302
2017-01-27,117.0718
2017-01-26,117.2756
2017-01-25,116.9347
2017-01-24,117.0508
2017-01-23,117.2474
2017-01-19,118.3174
2017-01-18,117.723
2017-01-17,117.264
2017-01-13,117.986
2017-01-12,117.798
2017-01-11,119.0193
2017-01-10,118.536
2017-01-09,118.4082
2017-01-06,118.347
2017-01-05,117.9983
2017-01-04,118.878
2017-01-03,119.0873
2016-12-30,118.344
2016-12-29,118.661
2016-12-28,119.2278
2016-12-27,118.948
2016-12-23,118.783
2016-12-22,118.8183
2016-12-21,118.5784
2016-12-20,118.6274
2016-12-19,118.385
2016-12-16,118.3559
2016-12-15,118.8047
2016-12-14,116.7309
2016-12-13,116.8006
2016-12-12,116.9138
2016-12-09,117.2809
2016-12-08,117.0303
2016-12-07,116.6697
2016-12-06,116.9203
2016-12-05,117.0987
2016-12-02,117.3095
2016-12-01,117.662
2016-11-30,117.7612
2016-11-29,117.6417
