Date,Price,21
1943.07,192.21,
1943.08,183.77,
1943.09,186.60,
1943.1,184.89,
1943.11,176.33,
1943.12,178.67,
1944.01,184.42,
1944.02,183.18,
1944.03,188.32,
1944.04,183.99,
1944.05,187.24,
1944.06,194.95,
1944.07,198.89,
1944.08,195.99,
1944.09,192.77,
1944.1,197.52,
1944.11,196.14,
1944.12,199.30,
1945.01,205.23,
1945.02,212.08,
1945.03,211.92,
1945.04,217.25,
1945.05,224.20,
1945.06,225.77,
1945.07,221.13,
1945.08,221.88,
1945.09,236.99,
1945.1,246.86,
1945.11,254.94,
1945.12,257.86,
1946.01,268.12,
1946.02,270.35,
1946.03,259.41,
1946.04,274.63,
1946.05,273.73,
1946.06,269.06,
1946.07,246.87,
1946.08,237.29,
1946.09,200.31,
1946.1,192.03,
1946.11,186.76,
1946.12,190.57,
1947.01,191.58,
1947.02,199.01,
1947.03,187.46,
1947.04,180.53,
1947.05,177.32,
1947.06,182.67,
1947.07,192.37,
1947.08,186.07,
1947.09,177.32,
1947.1,181.91,
1947.11,179.01,
1947.12,173.94,
1948.01,169.45,
1948.02,162.48,
1948.03,165.49,
1948.04,175.22,
1948.05,182.99,
1948.06,189.00,
1948.07,182.24,
1948.08,176.19,
1948.09,174.20,
1948.1,179.68,
1948.11,171.10,
1948.12,170.68,
1949.01,173.31,
1949.02,168.06,
1949.03,169.65,
1949.04,168.71,
1949.05,168.17,
1949.06,158.29,
1949.07,168.65,
1949.08,173.97,
1949.09,175.51,
1949.1,181.56,
1949.11,183.30,
1949.12,189.79,
1950.01,194.52,
1950.02,198.32,
1950.03,199.08,
1950.04,204.71,
1950.05,210.70,
1950.06,213.23,
1950.07,195.29,
1950.08,205.39,
1950.09,211.76,
1950.1,218.73,
1950.11,217.41,
1950.12,213.93,
1951.01,226.13,
1951.02,231.81,
1951.03,227.03,
1951.04,230.08,
1951.05,229.29,
1951.06,225.32,
1951.07,229.29,
1951.08,239.33,
1951.09,243.62,
1951.1,241.45,
1951.11,232.95,
1951.12,239.22,
1952.01,247.20,
1952.02,244.54,
1952.03,245.16,
1952.04,243.52,
1952.05,243.41,
1952.06,249.14,
1952.07,254.37,
1952.08,255.38,
1952.09,251.33,
1952.1,246.05,
1952.11,253.86,
1952.12,264.11,
1953.01,266.52,
1953.02,264.26,
1953.03,264.59,
1953.04,251.56,
1953.05,251.94,
1953.06,242.00,
1953.07,245.44,
1953.08,245.53,
1953.09,234.26,
1953.1,240.41,
1953.11,246.64,
1953.12,249.96,
1954.01,256.30,
1954.02,261.94,
1954.03,267.48,
1954.04,279.19,
1954.05,289.22,
1954.06,291.54,
1954.07,303.32,
1954.08,309.36,
1954.09,317.79,
1954.1,325.16,
1954.11,337.89,
1954.12,354.68,
1955.01,361.07,
1955.02,373.14,
1955.03,370.20,
1955.04,382.98,
1955.05,381.35,
1955.06,403.46,
1955.07,431.36,
1955.08,428.73,
1955.09,446.37,
1955.1,423.92,
1955.11,452.51,
1955.12,458.44,
1956.01,446.11,
1956.02,448.94,
1956.03,479.86,
1956.04,483.72,
1956.05,466.78,
1956.06,460.66,
1956.07,482.10,
1956.08,480.99,
1956.09,462.93,
1956.1,455.34,
1956.11,450.61,
1956.12,455.65,
1957.01,445.74,
1957.02,424.97,
1957.03,428.90,
1957.04,437.26,
1957.05,452.43,
1957.06,458.24,
1957.07,464.19,
1957.08,438.64,
1957.09,420.84,
1957.1,394.62,
1957.11,384.75,
1957.12,384.56,
1958.01,389.35,
1958.02,390.67,
1958.03,395.95,
1958.04,396.74,
1958.05,409.48,
1958.06,419.32,
1958.07,429.36,
1958.08,446.96,
1958.09,458.77,
1958.1,477.42,
1958.11,490.24,
1958.12,501.22,
1959.01,519.38,
1959.02,513.21,
1959.03,526.23,
1959.04,533.20,
1959.05,541.23,
1959.06,534.72,
1959.07,554.03,
1959.08,550.88,
1959.09,527.28,
1959.1,525.02,
1959.11,527.14,
1959.12,544.00,
1960.01,536.33,
1960.02,513.78,
1960.03,506.78,
1960.04,511.58,
1960.05,506.90,
1960.06,523.85,
1960.07,510.86,
1960.08,516.99,
1960.09,501.44,
1960.1,488.26,
1960.11,504.07,
1960.12,516.16,
1961.01,542.69,
1961.02,564.96,
1961.03,582.68,
1961.04,598.22,
1961.05,604.30,
1961.06,596.31,
1961.07,590.71,
1961.08,613.97,
1961.09,607.14,
1961.1,613.82,
1961.11,641.62,
1961.12,647.57,
1962.01,623.47,
1962.02,631.75,
1962.03,632.38,
1962.04,610.20,
1962.05,564.83,
1962.06,498.83,
1962.07,509.16,
1962.08,523.01,
1962.09,516.66,
1962.1,500.36,
1962.11,534.83,
1962.12,557.99,
1963.01,579.55,
1963.02,587.21,
1963.03,583.07,
1963.04,610.50,
1963.05,622.75,
1963.06,620.45,
1963.07,609.26,
1963.08,626.11,
1963.09,642.60,
1963.1,642.10,
1963.11,638.49,
1963.12,650.01,
1964.01,669.99,
1964.02,678.23,
1964.03,690.59,
1964.04,700.58,
1964.05,707.41,
1964.06,700.94,
1964.07,724.63,
1964.08,716.31,
1964.09,726.29,
1964.1,738.82,
1964.11,741.58,
1964.12,728.73,
1965.01,747.48,
1965.02,752.95,
1965.03,751.23,
1965.04,758.67,
1965.05,769.97,
1965.06,728.76,
1965.07,727.65,
1965.08,741.19,
1965.09,765.95,
1965.1,780.71,
1965.11,787.20,
1965.12,781.15,
1966.01,794.69,
1966.02,784.39,
1966.03,749.81,
1966.04,767.97,
1966.05,727.56,
1966.06,719.29,
1966.07,715.25,
1966.08,667.89,
1966.09,644.37,
1966.1,634.86,
1966.11,666.63,
1966.12,669.43,
1967.01,695.11,
1967.02,719.06,
1967.03,733.79,
1967.04,744.17,
1967.05,755.22,
1967.06,743.52,
1967.07,754.11,
1967.08,763.82,
1967.09,772.19,
1967.1,768.69,
1967.11,742.38,
1967.12,761.28,
1968.01,754.75,
1968.02,718.57,
1968.03,703.37,
1968.04,753.13,
1968.05,768.21,
1968.06,784.31,
1968.07,778.26,
1968.08,759.09,
1968.09,781.54,
1968.1,796.29,
1968.11,806.28,
1968.12,812.40,
1969.01,775.89,
1969.02,767.77,
1969.03,744.89,
1969.04,755.71,
1969.05,778.18,
1969.06,733.53,
1969.07,696.94,
1969.08,689.30,
1969.09,689.85,
1969.1,693.48,
1969.11,694.77,
1969.12,654.45,
1970.01,646.98,
1970.02,621.13,
1970.03,628.44,
1970.04,604.55,
1970.05,533.60,
1970.06,527.57,
1970.07,525.77,
1970.08,541.05,
1970.09,570.48,
1970.1,579.88,
1970.11,576.34,
1970.12,612.70,
1971.01,636.11,
1971.02,659.08,
1971.03,674.29,
1971.04,695.57,
1971.05,682.71,
